Country/Region,Population,Area,Maximum,"Per 100,000 inh.",% Confirmed,Blank 2,Comments,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26
American Samoa,55191,200,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,59190,180,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands,57559,460,4,6.9493910596,0.0384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
US,331002651,9147420,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US Alabama,4903185,131171,24401,497.6561153617,0.1008484979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,231,240,271,314,333,368,402,437,457,493,525,553,594,620,641,641,699,730,768,768,839,845,872,911,945,978,1008,1023,1035,1064,1107,1158,1178,1207,1228,1240,1256,1287,1317,1350,1377,1387,1392,1416,1453,1493,1528,1561,1589,1612,1629,1671,1719,1765,1800,1826,1844,1856,1879,1900,1929,1949,1993,2022,2054,2087,2129,2165,2202,2241,2255,2259,2315,2352,2373,2416,2443,2460,2471,2521,2567,2612,2653,2697,2703,2725,2769,2803,2835,2883,2906,2909,2914,2961,3006,3039,3089,6745,6745,6745,7123,7291,7584,7584,7782,7782,8368,8538,8538,8995,9157,9157,9157,9694,9893,9893,10070,10521,10521,10521,10865,11100,11100,11313,11537,11537,11537,12070,12070,12292,12456,12456,12607,12607,12958,12958,13080,13330,13330,13502,13502,13793,13793,14005,14005,14267,14267,14267,14267,14538,14753,14801,14801,14914,14914,14914,15137,15339,15339,15527,15527,15527,15756,15756,15942,16079,16227,16227,16227,16487,16604,16698,16778,16852,16852,16852,17091,17182,17257,17257,17420,17420,17420,17699,17699,17915,17989,17989,18179,18179,18179,18440,18635,18635,18855,18855,18855,19081,19081,19330,19448,19595,19595,19595,19974,19974,20116,20246,20450,20450,20450,20450,20901,21027,21027,21294,21294,21294,21294,21886,21886,22190,22275,22275,22275,22716,22716,23088,23295,23449,23449,23449,23942,24160,24376,24401
US Alaska,731545,1477953,688,94.0475295436,0.0238128202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,6,10,10,10,12,15,16,17,17,21,25,26,28,30,30,32,33,33,33,33,36,37,37,37,37,37,37,37,37,37,37,37,38,38,38,39,39,39,39,40,41,41,41,41,41,41,41,41,42,43,45,46,46,46,46,47,49,49,49,49,49,49,49,50,50,50,50,51,52,52,53,53,53,53,53,53,54,55,56,57,60,61,61,61,63,65,65,65,66,67,67,67,67,68,68,68,68,68,69,71,75,78,80,84,87,90,93,95,96,98,102,103,105,107,110,111,113,118,124,126,132,135,138,143,145,147,151,153,154,156,158,161,164,167,172,176,180,181,186,191,193,197,203,206,208,214,218,220,223,225,228,233,235,236,239,240,241,241,246,247,252,252,256,256,260,265,268,270,270,271,272,275,278,279,280,283,283,287,292,295,296,300,302,304,308,309,313,315,317,320,322,324,325,328,333,337,339,341,345,352,355,356,365,373,377,383,387,389,395,401,415,419,421,424,425,434,442,448,455,462,470,472,476,482,491,499,509,514,520,528,537,542,543,550,559,562,584,593,606,612,612,617,631,663,688
US Arizona,7278717,294207,25163,345.7065304229,0.0800538295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,6,6,6,8,8,11,16,22,26,36,42,55,67,85,108,128,145,189,219,264,303,343,386,427,478,534,582,616,667,711,760,819,853,906,950,995,1037,1074,1122,1171,1213,1258,1289,1341,1387,1454,1484,1528,1572,1626,1672,1716,1772,1824,1884,1937,1986,2033,2089,2135,2192,2244,2292,2350,2386,2421,2462,2504,2543,2595,2636,2673,2703,2757,2800,2836,2885,2943,2984,3026,3077,3122,3172,3223,3281,3334,3379,3445,3520,3589,3642,3712,3777,3847,3911,3959,4000,4041,4079,4115,4148,4182,4209,4224,4241,4246,4252,4255,4255,4255,4313,4406,4514,4595,4617,4634,4736,4837,4916,5018,5068,5161,5188,5272,5387,5526,5659,5750,5795,5839,5942,6103,6296,6402,6567,6632,6698,6894,7047,7236,7461,7627,7706,7751,9394,10060,11172,11260,11346,11371,11400,13294,13559,14068,19241,19244,19268,19277,19292,19821,20503,20515,20795,20755,20756,20878,21020,21143,21210,21271,21241,21219,21365,21376,21426,21428,21433,21421,21405,21405,21449,21474,21498,21520,21527,21525,21522,21593,21611,21747,21773,21773,21774,21800,21825,21821,21865,21882,21876,21878,21900,21925,21942,21972,22005,22015,22019,22047,22119,22226,22240,22280,22294,22303,19987,20050,20171,20199,20229,20253,20257,20312,20366,20462,20491,20618,20640,20648,20719,20820,20938,20967,21043,21086,21097,21172,21247,21260,21424,21492,21558,21573,21626,21786,21831,22018,22170,22202,22211,22428,22494,22576,22820,22937,23049,23122,23243,23473,23871,24052,24181,24412,24461,24666,24952,25163
US Arkansas,3017804,134771,8711,288.6536037463,0.0570745291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,100,105,106,130,137,148,130,130,130,130,130,130,130,130,130,130,291,291,291,291,291,291,291,291,291,291,291,389,402,414,414,427,438,453,453,462,466,471,471,480,485,497,509,520,520,520,530,535,535,535,584,590,598,605,617,627,640,667,702,711,711,718,731,757,792,838,844,844,865,901,925,961,979,998,1003,1026,1052,1074,1100,1100,1152,1164,1188,1214,1245,1300,1337,1373,1380,1413,1448,1477,1517,1536,1536,1575,1604,1655,1705,1743,1780,1822,1836,1872,1948,1994,2070,2135,2177,2202,2257,2317,2361,2361,2361,2542,2624,2686,2747,2747,2852,2852,2894,2966,3054,3118,3118,3168,3223,3284,3336,3401,3472,3566,3566,3562,3570,3621,3695,3743,3790,3856,3908,3920,3962,4013,4061,4104,4142,4142,4182,4213,4306,4341,4386,4422,4456,4462,4486,4524,4574,4606,4678,4678,4719,4736,4802,4840,4896,4932,4963,4967,4986,5055,5098,5160,5202,5202,5235,5248,5354,5354,5445,5488,5527,5550,5586,5658,5740,5805,5805,5900,5910,5960,6069,6148,6199,6243,6278,6315,6361,6428,6526,6526,6678,6707,6718,6768,6841,6920,6967,7003,7038,7055,7110,7194,7273,7326,7401,7415,7434,7496,7579,7635,7715,7817,7847,7876,7949,8050,8139,8268,8353,8415,8472,8523,8620,8711,8711
US California,39512223,403466,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Colorado,5758736,268431,13248,230.0504833005,0.0611400064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,26,42,44,49,58,72,84,148,184,239,274,326,414,509,620,710,823,875,924,994,1079,1162,1221,1312,1376,1417,1493,1556,1636,1693,1755,1797,1813,1880,2003,2123,2237,2366,2410,2438,2485,2571,2621,2697,2747,2793,2799,2838,2919,2986,3557,3600,3623,3631,3663,3695,3735,3789,3842,3866,3872,3899,3955,3990,4037,4082,4105,4119,4128,4160,4196,4254,4307,4333,4347,4372,4419,4443,4460,4472,4480,4485,4859,5025,5035,5057,5234,5244,5244,5269,5272,5294,5308,5318,5323,5327,5343,5366,5375,5386,5392,5399,5401,5442,5489,5513,5527,5537,5550,5565,5591,5741,5820,5831,5864,5885,5895,5941,5963,5950,5966,5994,6019,6032,6057,6110,6133,6149,6227,6261,6268,6271,6319,6398,6413,6441,6465,6474,6487,6516,6536,6572,6582,6602,6616,6627,6679,6685,6700,6718,6727,6735,6739,6781,6784,6797,6808,6831,6841,6845,6894,6902,6928,6945,6993,7010,7028,7053,7090,7104,7125,7134,7138,7142,7161,7173,7186,7208,7223,7227,7240,7262,7288,7327,7347,7357,7363,7373,7416,7444,7454,7479,7520,7523,7530,7558,7568,7579,7653,7666,7673,7693,7721,7771,7834,7855,7879,7893,7915,8003,8068,8127,8169,8217,8227,8248,8332,8380,8478,8557,8598,8622,8658,8778,8854,8943,9031,9064,9089,9114,9180,9618,9714,9911,9997,10017,10050,10263,10538,10597,10861,11056,11124,11203,11608,11802,11980,12166,12424,12484,12526,12836,13044,13248
