Country/Region,Population,Area,Maximum,"Per 100,000 inh.",% Confirmed,Blank 2,Comments,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26
American Samoa,55191,200,1988,3602.0365639325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,57,57,57,83,83,83,83,83,83,83,105,105,105,105,105,105,105,105,124,124,124,124,124,124,124,124,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,696,696,696,696,696,696,696,696,696,696,696,696,696,816,816,816,816,816,816,816,816,1037,1037,1037,1037,1037,1037,1037,1037,1037,1037,1037,1037,1037,1037,1037,1037,1267,1267,1267,1267,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1571,1571,1571,1571,1571,1571,1571,1571,1571,1571,1571,1571,1571,1571,1571,1571,1571,1571,1571,1571,1571,1571,1571,1571,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1768,1768,1768,1768,1768,1768,1768,1768,1768,1768,1768,1768,1768,1768,1768,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988
Marshall Islands,59190,180,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands,57559,460,16851,29276.0471863653,162.0288461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,6,21,21,21,21,21,23,38,38,38,38,38,38,40,40,40,55,56,56,65,65,65,65,65,65,65,65,65,224,599,763,948,1335,1335,1797,1798,1798,2336,2337,2337,2695,2873,3040,3325,3325,3339,3339,3420,3817,3817,4089,4318,4318,4757,4757,4940,5200,5423,5684,6008,6173,6334,6557,6557,6695,6695,6695,7241,7242,7523,7523,7581,7762,7936,8169,8169,8169,8169,8169,8169,8169,8169,8169,8217,8217,8217,8217,8217,8217,8217,8217,8217,8217,8218,8218,8218,8218,8218,10765,10765,10765,10765,10767,10767,10697,10700,10700,10701,10701,10701,11092,11093,12745,11338,11338,11339,11340,11759,11759,11759,11761,11761,11761,11764,12301,12301,12301,12301,12301,12301,12301,12301,12301,12301,12301,12302,12302,12302,12920,12920,12920,12921,12921,12921,12921,12921,12921,12921,13540,13540,13542,13540,13540,13541,13541,13541,13541,13542,13542,13542,13543,13543,14375,14375,14376,14376,14377,14377,14377,14378,14378,14378,14384,14385,14385,14845,14845,14845,14845,14846,14846,14846,15182,15182,15185,15185,15185,15196,15196,15196,15196,15196,15198,15198,15198,15198,15533,15533,15536,15542,15542,15542,15811,15811,15811,15811,15811,15811,15815,16085,16085,16085,16085,16085,16089,16089,16089,16089,16089,16091,16091,16091,16093,16567,16567,16567,16567,16567,16567,16569,16570,16570,16570,16570,16570,16571,16851,16851,16851,16851
US,331002651,9147420,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US Alabama,4903185,131171,1603144,32695.9721079258,6.6257392843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,10,10,12,28,40,56,64,74,96,109,152,1602,1832,2321,2812,4099,4771,4880,4990,6553,7279,7774,8736,9619,10853,13078,14765,14916,19122,20827,21026,21249,21583,29182,33117,34077,36391,37848,42538,45712,45900,48526,48760,52641,52695,71344,73551,73997,75827,80449,87196,91933,92209,92500,103117,106766,109516,115173,120114,125494,127421,129444,133218,136372,141985,146063,153494,156350,157123,157566,164450,170739,177768,182676,185799,190315,193759,195794,200481,208883,212201,217553,223523,223802,231594,235299,239473,245644,259566,259991,267739,273057,278826,286385,293252,297455,302674,305424,310723,322534,331325,339523,344678,349110,354038,358759,369458,378323,384026,386280,393293,406652,413953,419728,430631,442088,449886,455095,461364,468292,470504,492216,502020,511506,519604,529089,541049,551109,563115,574495,585533,593788,600381,609488,619527,628984,641611,649686,657959,665399,668275,680108,689467,697371,706070,714051,722301,727460,739784,749416,749502,762451,780567,783689,795771,802562,824984,837017,846424,852923,868259,885346,896779,897100,916282,921669,923319,927277,943685,956809,964863,975818,981062,985287,958920,964233,965974,970413,977973,984308,987995,992395,998399,1005738,1010922,1016369,1023187,1027551,1032970,1040771,1044913,1053055,1062612,1068328,1073892,1080149,1085604,1092953,1114022,1121639,1128006,1133274,1136717,1149176,1156314,1163310,1174699,1181242,1186304,1191770,1199944,1204021,1216017,1223945,1229759,1234463,1241317,1246453,1254577,1261832,1269761,1274995,1281313,1287087,1295035,1302817,1314774,1322198,1329140,1334315,1339885,1347632,1355047,1363465,1374243,1381326,1385328,1392351,1401274,1408999,1417716,1427077,1433504,1437832,1437719,1453872,1455872,1474217,1487103,1493737,1501190,1508520,1517531,1533166,1545177,1555799,1563307,1571821,1583882,1593279,1603144
US Alaska,731545,1477953,969573,132537.7112822861,33.5585283123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,12,14,23,23,46,46,60,144,144,144,337,412,438,698,772,968,968,1022,1691,1860,2388,2921,3334,3654,3713,4603,5022,6016,6040,6284,6883,6913,7068,7223,7432,7732,8038,7830,8348,8664,8735,9450,9655,9895,10124,11119,12159,12161,12281,15732,16177,16256,17089,19119,19119,20325,21399,21578,21723,22692,23655,24341,25473,26449,27364,28680,29961,30649,31762,32418,33281,34651,35611,36380,37045,39545,41446,42351,43507,44472,44964,46363,47970,49439,51695,51695,54190,56203,58182,60097,60990,63901,64904,65912,66890,67720,69011,70880,71803,73467,74437,76215,77709,81185,83631,86918,88051,90824,92947,96096,99452,101792,105581,108300,108709,112185,114400,115909,120208,122732,123753,123753,131420,133401,135744,141931,143376,145475,146590,149473,156093,163022,165414,168363,173010,175586,178626,185333,189509,200572,205066,207264,207264,213875,223664,225057,233106,238633,243090,245807,252649,257279,261572,268851,273593,277919,280343,290744,292582,294053,295929,296677,301515,305648,310009,310849,312647,321535,326287,327440,330503,333831,334804,336220,339538,345695,346839,348630,374255,376884,377936,381937,385002,387057,388621,391656,391937,393077,394586,399629,401213,403413,407124,408564,415863,418293,422850,426925,428645,431191,433198,433198,441332,442869,442869,444791,451056,457207,462323,469290,473256,476818,479374,479374,490074,491171,493070,499253,502997,505927,514789,517177,519461,522664,530500,532711,536223,546525,547140,548709,552746,552746,559969,570844,577429,580599,584268,586323,604207,604207,620170,624755,627758,781826,781301,780694,780174,767997,828140,834590,844666,844666,862264,867382,872347,878622,885558,898799,904712,918745,926361,933016,943401,954276,969573
US Arizona,7278717,294207,2188188,30062.8256325943,6.9615240228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,30,36,49,49,49,57,68,91,103,133,133,143,162,176,219,276,344,434,574,670,773,924,8191,8328,13872,16759,19371,21058,22709,24673,27160,27410,32534,33375,34564,37178,37734,40530,42109,43347,44096,45310,47398,49230,51045,52990,54500,55152,56601,58697,60714,62508,64811,66543,67438,68813,71786,74879,77997,81119,85253,88260,91737,96434,101125,105810,110377,116464,122842,127750,134338,142001,146788,151761,156473,161571,165435,171627,176003,180439,183641,187782,190731,196266,202914,209813,217047,225206,228070,237833,244525,249755,263865,271646,281621,288081,293213,299687,309582,322779,328397,338045,345257,354334,366193,379732,392216,405280,419744,429790,440518,449188,464196,479823,494747,509896,511423,532356,549596,560839,578381,589508,604362,617841,628797,641070,653061,669211,683990,696172,702426,721943,735962,749266,764968,771991,785979,793523,807666,813981,822713,836817,857609,867103,878333,890931,901429,913266,933743,948650,956428,964418,971244,985542,995864,1004845,1016521,1022563,1028231,1037275,1044228,1058178,1067575,1077191,1091974,1098388,1103997,1111239,1118443,1127988,1144134,1150869,1157222,1162204,1166910,1174928,1184077,1192376,1199441,1204429,1208990,1213927,1222859,1236928,1252775,1259018,1263397,1266599,1269197,1272734,1279424,1288729,1296137,1300664,1312304,1328461,1352882,1362319,1373159,1383924,1390962,1400654,1409866,1420417,1428024,1438677,1447845,1453252,1458090,1462148,1475972,1483180,1492856,1500858,1507610,1516207,1523486,1535900,1548282,1560907,1571069,1579111,1586081,1594245,1606089,1614467,1625846,1636210,1645001,1652612,1662704,1673903,1686863,1698966,1711869,1720285,1730162,1736979,1751307,1764784,1777369,1791644,1798521,1809271,1818497,1832929,1848745,1865425,1879328,1889905,1905430,1915235,1930540,1949839,1968659,1981831,1995236,2011792,2026755,2045295,2072188,2092097,2112974,2133623,2148901,2166252,2188188
US Arkansas,3017804,134771,1665827,55199.973225564,10.9145094185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,12,12,12,30,39,77,119,154,219,269,356,447,685,876,1080,1165,1717,1839,1926,3342,3453,5735,6482,7938,8523,9699,10370,11242,12845,13638,14530,14951,17120,18578,19722,20804,21131,21834,22675,23494,24141,24209,26553,27441,29713,31590,35578,38053,39469,40457,40671,45449,48379,49676,51582,52890,54442,54635,59003,59995,63994,65528,65528,69030,70444,73215,75818,81529,81644,85185,85239,93701,96258,99276,103047,103047,108581,111622,111773,115596,118902,119768,126497,129515,133236,133236,142480,142480,147611,156757,160273,160587,165781,176217,176665,181122,187017,196989,204138,205566,220699,228434,234772,242234,242234,256339,264492,271866,277380,277380,283965,291222,302536,311203,314858,323987,331237,338893,338893,344968,350655,353272,364661,365412,369649,382402,382974,390299,395776,400961,407497,413005,419171,432816,439635,440226,446480,461464,461464,477267,484891,489906,495605,502717,503469,514581,514581,527400,533899,534811,539836,551523,551523,563831,569320,572868,573571,583480,588660,588260,622050,622462,633062,641280,648509,658591,659138,665700,673704,674184,683273,690028,698055,706970,712687,727035,731025,737449,738841,748914,765947,765947,772813,783730,784228,797178,798358,820000,822068,828267,872116,846177,856918,868179,869257,886017,893602,900206,909264,919786,928768,936390,943134,1000226,1010657,1032804,1045906,1057730,1068412,1076050,1082876,1091512,1101523,1115691,1115691,1142188,1151185,1159683,1167481,1178353,1191223,1203320,1213237,1221654,1229721,1237675,1248949,1262040,1274297,1287123,1295235,1302162,1310854,1320831,1333414,1345040,1355680,1355680,1372367,1378181,1389797,1402973,1417494,1429305,1438805,1447466,1456243,1469248,1482925,1497395,1497395,1519751,1531206,1540028,1552919,1568140,1582006,1597546,1611627,1621958,1635389,1650534,1665827
US California,39512223,403466,23096745,58454.6837569731,19.9335153782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515,515,522,531,550,804,823,1073,1118,1118,1168,1209,8316,8464,8592,9711,11487,12528,12840,14300,15554,18276,20386,21259,25192,26257,26996,29254,29927,33000,35300,113700,116533,117431,131229,144264,163500,164863,173219,190328,190882,202208,216486,246400,251614,259666,280900,290500,300100,465327,482097,494173,506035,526084,553409,577608,603139,625337,654985,686803,715751,747874,779902,809036,842874,875272,912570,955664,991897,1033370,1065592,1104651,1133906,1179126,1235243,1292672,1339316,1380120,1421127,1466773,1515306,1582745,1644102,1696396,1736894,1790559,1835478,1888595,1944848,2012583,2071591,2131294,2182671,2238463,2308300,2362218,2431190,2486245,2540798,2597647,2662258,2724393,2801996,2868182,2937755,2997988,3074530,3155702,3234412,3319256,3411686,3496929,3592899,3694345,3771314,3862310,3955952,4061692,4167139,4254176,4338718,4448176,4553031,4680138,4793353,4896370,4996175,5078434,5175737,5275695,5406599,5544365,5674955,5793276,5915508,6044099,6167218,6286852,6414321,6536932,6664419,6778304,6915876,7047355,7168139,7296578,7417866,7517466,7633840,7811041,7886587,8035975,8184696,8305713,8409400,8500463,8596882,8707527,8826119,8998353,9186279,9303467,9445493,9556598,9681111,9798135,9933780,10049039,10140683,10227966,10329372,10436352,10541031,10652487,10762506,10832757,10918415,11010637,11109630,11231829,11373305,11470696,11580370,11663924,11796970,11916323,12047191,12158292,12267948,12343797,12389991,12451660,12556967,12690016,12806189,12928170,13000522,13080037,13177186,13343886,13523158,13672782,13804055,13879423,13952857,14052247,14182730,14333498,14484852,14613545,14705202,14771851,14868431,14998888,15160287,15301681,15430421,15556706,15623623,15736497,15878445,16047004,16191341,16333717,16425487,16517812,16621956,16756711,16892062,17042408,17189070,17293139,17358770,17483293,17609179,17787885,17982829,18127049,18223596,18323771,18444523,18602317,18743315,18912501,19074921,19181012,19266363,19396349,19565151,19724628,19918479,20094641,20222093,20342072,20478500,20671596,20866785,21068894,21259076,21418543,21552528,21730551,21971832,22237309,22457544,22741363,22910351,23096745
US Colorado,5758736,268431,1699645,29514.2024221982,7.8439240734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,48,63,112,142,154,279,343,596,711,758,758,1216,1800,2328,2952,3680,4550,5436,6224,7701,8064,10122,11676,13276,15044,15364,16849,18645,20411,22071,23900,25773,26875,28094,29199,32345,32653,34873,37153,38742,39580,40533,41830,43307,44606,46195,47466,48704,50645,52324,56788,59791,63274,66341,69030,71059,72390,76949,79906,83090,85004,85976,91347,94106,96772,103749,108594,108657,111250,114519,118030,121840,125548,128495,131333,131837,135611,142225,144952,150051,150308,156011,159420,163123,168959,175741,180627,186376,190537,194177,197200,203424,208277,213014,217484,221887,226094,230345,234370,236461,244643,249085,253156,256667,262216,264446,273069,278386,282772,287876,290834,296065,302577,307583,313711,319565,323857,327503,333255,340290,345754,350717,355655,360640,365073,370702,377140,385861,392103,399365,404955,409990,416216,424349,430783,435938,442169,451299,457402,465411,470877,479744,490396,497788,500430,512177,519672,526346,533403,540572,547212,552003,555422,565319,571363,579131,585880,591840,597182,601300,605790,613366,620325,626305,634573,639650,643831,648758,649087,649443,649740,650000,650198,682061,686103,691311,699384,705209,709896,714768,718398,723058,729015,735968,742572,748461,754319,757241,760352,764682,770227,777488,784530,790757,795733,801922,809241,817869,825702,832709,838884,845111,853592,862805,872732,882842,893381,899874,907152,916384,927208,937921,947395,955819,962621,970591,980037,990222,1001087,1012173,1022564,1028709,1037975,1045267,1056107,1065484,1075777,1085968,1095280,1101775,1110243,1120200,1130901,1144155,1156234,1175350,1183754,1191858,1203209,1214467,1229406,1243467,1256328,1267145,1279847,1294480,1310846,1327974,1341956,1359195,1374786,1395052,1400249,1423901,1444324,1462983,1481306,1500349,1520268,1546507,1572964,1598694,1620879,1640217,1654599,1671722,1699645
